corpus,conv_id,utterance_id,aspect,n_raters,y_hard,w_conf,p1,p2,p3,p4,y_cont,lo,hi,mask_t1,mask_t2,mask_t3
insq,insq_2228,2316,Novelty,5,2,0.31452470275269817,0.2,0.6,0.0,0.2,2.2,1,4,0,0,0
insq,insq_2228,2316,Relevance,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2316,Scope,5,3,0.039035952556318754,0.2,0.2,0.4,0.2,2.6000000000000005,1,4,0,0,0
insq,insq_2228,2318,Novelty,5,3,0.23903595253642673,0.0,0.4,0.4,0.2,2.8000000000000003,2,4,1,0,0
insq,insq_2228,2318,Relevance,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2318,Scope,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2365,Novelty,5,2,0.5145247027323308,0.4,0.6,0.0,0.0,1.6,1,2,0,1,1
insq,insq_2228,2365,Relevance,5,3,0.039035952556318754,0.2,0.2,0.4,0.2,2.6000000000000005,1,4,0,0,0
insq,insq_2228,2365,Scope,5,2,0.23903595253642673,0.4,0.4,0.2,0.0,1.8,1,3,0,0,1
insq,insq_2228,2366,Novelty,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2366,Relevance,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2366,Scope,5,3,0.23903595253642673,0.0,0.4,0.2,0.4,3.0000000000000004,2,4,1,0,0
insq,insq_2228,2369,Novelty,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
insq,insq_2228,2369,Relevance,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2369,Scope,5,3,0.23903595253642673,0.0,0.4,0.4,0.2,2.8000000000000003,2,4,1,0,0
insq,insq_2228,2374,Novelty,5,2,0.039035952556318754,0.2,0.4,0.2,0.2,2.4000000000000004,1,4,0,0,0
insq,insq_2228,2374,Relevance,5,1,0.31452470275269817,0.6,0.2,0.2,0.0,1.6,1,3,0,0,1
insq,insq_2228,2374,Scope,5,1,0.5145247027323308,0.6,0.4,0.0,0.0,1.4,1,2,0,1,1
insq,insq_2228,2375,Novelty,5,2,0.23903595253642673,0.4,0.4,0.0,0.2,2.0,1,4,0,0,0
insq,insq_2228,2375,Relevance,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2375,Scope,5,1,0.31452470275269817,0.6,0.2,0.2,0.0,1.6,1,3,0,0,1
insq,insq_2228,2377,Novelty,5,3,0.31452470275269817,0.0,0.2,0.6,0.2,3.0,2,4,1,0,0
insq,insq_2228,2377,Relevance,5,3,0.5145247027323308,0.0,0.0,0.6,0.4,3.4,3,4,1,1,0
insq,insq_2228,2377,Scope,5,4,0.6390359525157349,0.0,0.2,0.0,0.8,3.6,2,4,1,0,0
insq,insq_2228,2379,Novelty,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2379,Relevance,5,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_2228,2379,Scope,5,4,0.5145247027323308,0.0,0.0,0.4,0.6,3.6,3,4,1,1,0
insq,insq_2228,2381,Novelty,5,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_2228,2381,Relevance,5,4,0.5145247027323308,0.0,0.0,0.4,0.6,3.6,3,4,1,1,0
insq,insq_2228,2381,Scope,5,4,0.6390359525157349,0.0,0.2,0.0,0.8,3.6,2,4,1,0,0
insq,insq_2228,2383,Novelty,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2383,Relevance,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2383,Scope,5,3,0.23903595253642673,0.0,0.2,0.4,0.4,3.2,2,4,1,0,0
insq,insq_24367,24386,CIG,3,1,0.5408520829323678,0.6666666666666666,0.0,0.3333333333333333,0.0,1.6666666666666665,1,3,0,0,1
insq,insq_24367,24388,CIG,3,2,0.5408520829323675,0.3333333333333333,0.6666666666666666,0.0,0.0,1.6666666666666665,1,2,0,1,1
insq,insq_24367,24390,CIG,3,4,0.5408520829323678,0.0,0.3333333333333333,0.0,0.6666666666666666,3.333333333333333,2,4,1,0,0
insq,insq_24367,24392,CIG,3,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24394,CIG,3,1,0.5408520829323678,0.6666666666666666,0.0,0.3333333333333333,0.0,1.6666666666666665,1,3,0,0,1
insq,insq_24367,24395,CIG,3,2,0.20751874961956152,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,1,3,0,0,1
insq,insq_24367,24397,CIG,3,2,0.5408520829323678,0.0,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,2,4,1,0,0
insq,insq_24367,24399,CIG,3,3,0.5408520829323678,0.0,0.0,0.6666666666666666,0.3333333333333333,3.333333333333333,3,4,1,1,0
insq,insq_24367,24401,CIG,3,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24403,CIG,3,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24405,CIG,3,3,0.5408520829323678,0.0,0.3333333333333333,0.6666666666666666,0.0,2.6666666666666665,2,3,1,0,1
insq,insq_24367,24407,CIG,3,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24408,CIG,3,2,0.5408520829323678,0.0,0.6666666666666666,0.3333333333333333,0.0,2.333333333333333,2,3,1,0,1
insq,insq_24367,24410,CIG,3,4,0.5408520829323678,0.3333333333333333,0.0,0.0,0.6666666666666666,3.0,1,4,0,0,0
insq,insq_24367,24412,CIG,3,2,0.2075187496195614,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,1,4,0,0,0
insq,insq_24367,24413,CIG,3,2,0.20751874961956152,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,1,3,0,0,1
insq,insq_24367,24417,CIG,3,2,0.20751874961956152,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,2.0,1,3,0,0,1
insq,insq_24367,24499,CIG,3,4,0.5408520829323678,0.3333333333333333,0.0,0.0,0.6666666666666666,3.0,1,4,0,0,0
insq,insq_24367,24501,CIG,3,3,0.5408520829323678,0.0,0.0,0.6666666666666666,0.3333333333333333,3.333333333333333,3,4,1,1,0
insq,insq_24367,24503,CIG,3,4,0.5408520829323678,0.0,0.0,0.3333333333333333,0.6666666666666666,3.6666666666666665,3,4,1,1,0
insq,insq_24367,24531,CIG,3,2,0.2075187496195614,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,1,4,0,0,0
insq,insq_24367,24532,CIG,3,3,0.5408520829323678,0.0,0.0,0.6666666666666666,0.3333333333333333,3.333333333333333,3,4,1,1,0
insq,insq_24367,24533,CIG,3,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24535,CIG,3,2,0.5408520829323675,0.3333333333333333,0.6666666666666666,0.0,0.0,1.6666666666666665,1,2,0,1,1
insq,insq_24367,24386,Novelty,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24386,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24386,Scope,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24388,Novelty,2,2,0.49999999995969413,0.5,0.0,0.5,0.0,2.0,1,3,0,0,1
insq,insq_24367,24388,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24388,Scope,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24390,Novelty,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24390,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24390,Scope,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24392,Novelty,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24392,Relevance,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24392,Scope,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24394,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24394,Relevance,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24394,Scope,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24395,Novelty,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24395,Relevance,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24395,Scope,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24397,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24397,Relevance,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24397,Scope,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24399,Novelty,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24399,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24399,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24401,Novelty,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24401,Relevance,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24401,Scope,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24403,Novelty,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24403,Relevance,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24403,Scope,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24405,Novelty,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24405,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24405,Scope,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24407,Novelty,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24407,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24407,Scope,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24408,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24408,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24408,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24410,Novelty,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24410,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24410,Scope,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24412,Novelty,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24412,Relevance,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24412,Scope,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24413,Novelty,2,2,0.49999999995969413,0.5,0.0,0.5,0.0,2.0,1,3,0,0,1
insq,insq_24367,24413,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24413,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24417,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24417,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24417,Scope,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_24367,24499,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24499,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24499,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24501,Novelty,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24501,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24501,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24503,Novelty,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24503,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24503,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24531,Novelty,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24531,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24531,Scope,2,2,0.49999999995969413,0.0,0.5,0.5,0.0,2.5,2,3,1,0,1
insq,insq_24367,24532,Novelty,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24532,Relevance,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_24367,24532,Scope,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24533,Novelty,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24533,Relevance,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_24367,24533,Scope,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_24367,24535,Novelty,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_24367,24535,Relevance,2,4,0.49999999995969413,0.0,0.0,0.5,0.5,3.5,3,4,1,1,0
insq,insq_24367,24535,Scope,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17015,CIG,2,4,0.49999999995969413,0.5,0.0,0.0,0.5,2.5,1,4,0,0,0
insq,insq_16966,17017,CIG,2,4,0.49999999995969413,0.5,0.0,0.0,0.5,2.5,1,4,0,0,0
insq,insq_16966,17019,CIG,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_16966,17020,CIG,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_16966,17024,CIG,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_16966,17026,CIG,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_16966,17028,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17084,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17087,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17088,CIG,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_16966,17089,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17090,CIG,2,4,0.49999999995969413,0.5,0.0,0.0,0.5,2.5,1,4,0,0,0
insq,insq_16966,17091,CIG,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_16966,17095,CIG,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_16966,17097,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17099,CIG,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_16966,17101,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17103,CIG,2,2,0.49999999995969413,0.5,0.5,0.0,0.0,1.5,1,2,0,1,1
insq,insq_16966,17150,CIG,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_16966,17152,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_16966,17153,CIG,2,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_16966,17154,CIG,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_16966,17155,CIG,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_16966,17157,CIG,2,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_16966,17158,CIG,2,3,0.49999999995969413,0.0,0.5,0.0,0.5,3.0,2,4,1,0,0
insq,insq_16966,17159,CIG,2,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
